,ds,actual,predicted
0,2023-08-01,35256.02,39513.760108959235
1,2023-08-02,18651.5,37761.440649391225
2,2023-08-03,11956.03,34950.50552862118
3,2023-08-04,0.0,-36043.72861729219
4,2023-08-05,33349.35,51570.11308618339
5,2023-08-06,14547.64,39091.79535548823
6,2023-08-07,69156.08,35538.647592860216
7,2023-08-08,40319.87,35329.66775511052
8,2023-08-09,14879.36,33349.733194481276
9,2023-08-10,4677.361,30428.856633171887
10,2023-08-11,0.0,-40556.33616174975
11,2023-08-12,14058.47,47183.35367309452
12,2023-08-13,17311.64,34942.17474210364
13,2023-08-14,23501.58,31728.838770031747
14,2023-08-15,14941.48,31950.948063192358
15,2023-08-16,7500.225,30479.60422863638
16,2023-08-17,29825.88,28129.123553847116
17,2023-08-18,0.0,-42240.97875621837
18,2023-08-19,7996.269,46140.509662379205
19,2023-08-20,9465.53,34549.52855570029
20,2023-08-21,27001.12,31976.71093470504
21,2023-08-22,38556.44,32812.3457569251
22,2023-08-23,21182.68,31911.489101519084
23,2023-08-24,5456.317,30074.134922165715
24,2023-08-25,0.0,-39852.4051652805
25,2023-08-26,27462.8,48893.32126965895
26,2023-08-27,15438.75,37580.183378287475
27,2023-08-28,1057.002,35194.59322607266
28,2023-08-29,8531.212,36125.539883149955
29,2023-08-30,22610.44,35229.6822456852
